voterID, State, A, B, C, D
Voter215, TX, 3, 2, 4, 1
Voter216, ID, 1, 4, 3, 2
Voter217, FL, 2, 4, 1, 3
Voter218, GA, 4, 3, 2, 1
Voter219, NC, 2, 1, 3, 4
Voter220, MA, 4, 2, 3, 1
Voter221, NY, 1, 3, 4, 2
Voter222, OH, 3, 2, 1, 4
Voter223, VA, 2, 3, 1, 4
Voter224, SD, 3, 2, 4, 1
Voter225, UT, 1, 3, 2, 4
Voter226, RI, 3, 1, 4, 2
Voter227, FL, 3, 2, 1, 4
Voter228, NC, 3, 1, 4, 2
Voter229, MD, 4, 1, 2, 3
Voter230, AL, 4, 2, 1, 3
Voter231, AZ, 4, 2, 3, 1
Voter232, ID, 1, 3, 4, 2
Voter233, WV, 1, 2, 4, 3
Voter234, MD, 4, 2, 1, 3
Voter235, LA, 4, 3, 1, 2
Voter236, RI, 1, 3, 2, 4
Voter237, NY, 1, 2, 3, 4
Voter238, NM, 3, 4, 1, 2
Voter239, WV, 1, 2, 3, 4
Voter240, OH, 1, 4, 2, 3
Voter241, ID, 1, 4, 3, 2
Voter242, UT, 1, 3, 4, 2
Voter243, IA, 4, 3, 2, 1
Voter244, NM, 2, 4, 3, 1
Voter245, MT, 1, 2, 3, 4
Voter246, TX, 4, 1, 2, 3
Voter247, NV, 1, 2, 3, 4
Voter248, NY, 3, 4, 1, 2
Voter249, TX, 3, 2, 4, 1
Voter250, NM, 4, 1, 3, 2
Voter251, TX, 1, 4, 2, 3
Voter252, PA, 3, 1, 4, 2
Voter253, TX, 1, 3, 2, 4
Voter254, OH, 2, 3, 1, 4
Voter255, NV, 1, 3, 4, 2
Voter256, AL, 2, 1, 4, 3
Voter257, TX, 1, 3, 4, 2
Voter258, KS, 4, 2, 3, 1
Voter259, AL, 4, 3, 1, 2
Voter260, OH, 1, 4, 3, 2
Voter261, IN, 2, 1, 3, 4
Voter262, CT, 3, 2, 4, 1
Voter263, SC, 2, 4, 1, 3
Voter264, SC, 2, 1, 3, 4
Voter265, FL, 1, 3, 2, 4
Voter266, IL, 4, 3, 2, 1
Voter267, OH, 3, 2, 1, 4
Voter268, NE, 1, 4, 3, 2
Voter269, FL, 2, 1, 4, 3
Voter270, PA, 3, 1, 4, 2
Voter271, VT, 4, 2, 3, 1
Voter272, NM, 3, 2, 1, 4
Voter273, MO, 4, 3, 1, 2
Voter274, OH, 3, 1, 2, 4
Voter275, WV, 1, 3, 2, 4
Voter276, NE, 4, 3, 2, 1
Voter277, NY, 4, 2, 3, 1
Voter278, AZ, 2, 4, 1, 3
Voter279, TN, 4, 1, 3, 2
Voter280, WY, 2, 3, 1, 4
Voter281, UT, 3, 2, 4, 1
Voter282, WA, 2, 1, 3, 4
Voter283, OK, 4, 1, 2, 3
Voter284, IA, 4, 1, 2, 3
Voter285, MN, 1, 2, 4, 3
Voter286, KS, 2, 3, 4, 1
Voter287, NM, 2, 3, 4, 1
Voter288, ME, 3, 4, 1, 2
Voter289, OK, 1, 3, 4, 2
Voter290, AZ, 2, 1, 4, 3
Voter291, FL, 2, 3, 4, 1
Voter292, MT, 2, 3, 4, 1
Voter293, DE, 1, 3, 2, 4
Voter294, IL, 3, 4, 2, 1
Voter295, TX, 1, 3, 4, 2
Voter296, IN, 3, 2, 4, 1
Voter297, DE, 2, 4, 3, 1
Voter298, NM, 3, 2, 1, 4
Voter299, MA, 1, 3, 4, 2
Voter300, IA, 2, 3, 1, 4
Voter301, SC, 4, 3, 1, 2
Voter302, WV, 1, 4, 3, 2
Voter303, MI, 3, 1, 2, 4
Voter304, LA, 3, 1, 2, 4
Voter305, MA, 3, 2, 1, 4
Voter306, NV, 4, 3, 1, 2
Voter307, NY, 3, 4, 2, 1
Voter308, AL, 1, 2, 4, 3
Voter309, SC, 3, 4, 1, 2
Voter310, CO, 3, 4, 1, 2
Voter311, DE, 3, 1, 2, 4
Voter312, WA, 4, 1, 3, 2
Voter313, OH, 1, 3, 2, 4
Voter314, IA, 2, 1, 3, 4
Voter315, NC, 1, 3, 4, 2
Voter316, GA, 2, 3, 1, 4
Voter317, WI, 3, 4, 2, 1
Voter318, VT, 2, 1, 3, 4
Voter319, CA, 2, 1, 3, 4
Voter320, PA, 2, 1, 4, 3
Voter321, GA, 1, 3, 4, 2
Voter322, CO, 1, 4, 3, 2
Voter323, WV, 4, 2, 1, 3
Voter324, AK, 1, 2, 4, 3
Voter325, NJ, 4, 1, 2, 3
Voter326, WV, 3, 2, 4, 1
Voter327, KY, 3, 1, 2, 4
Voter328, NC, 1, 2, 4, 3
Voter329, NJ, 4, 1, 3, 2
Voter330, AK, 2, 4, 3, 1
Voter331, NV, 1, 2, 3, 4
Voter332, NH, 1, 4, 2, 3
Voter333, VT, 2, 1, 3, 4
Voter334, NM, 2, 3, 4, 1
Voter335, IL, 2, 3, 1, 4
Voter336, TX, 3, 4, 2, 1
Voter337, MD, 3, 4, 1, 2
Voter338, DC, 3, 1, 2, 4
Voter339, NE, 2, 3, 4, 1
Voter340, FL, 4, 2, 3, 1
Voter341, IA, 2, 4, 3, 1
Voter342, NC, 3, 2, 4, 1
Voter343, LA, 2, 4, 1, 3
Voter344, WV, 1, 4, 3, 2
Voter345, CO, 4, 1, 2, 3
Voter346, UT, 2, 1, 4, 3
Voter347, TX, 1, 2, 3, 4
Voter348, VA, 3, 2, 4, 1
Voter349, VA, 3, 2, 4, 1
Voter350, DC, 2, 1, 3, 4
Voter351, CO, 3, 1, 4, 2
Voter352, ND, 3, 1, 2, 4
Voter353, OR, 4, 1, 3, 2
Voter354, TN, 4, 1, 2, 3
Voter355, PA, 4, 3, 1, 2
Voter356, AR, 4, 2, 1, 3
Voter357, AK, 4, 1, 2, 3
Voter358, SD, 1, 2, 3, 4
Voter359, IA, 3, 2, 1, 4
Voter360, WI, 1, 3, 2, 4
Voter361, FL, 4, 2, 3, 1
Voter362, FL, 4, 3, 1, 2
Voter363, AK, 1, 4, 2, 3
Voter364, NE, 3, 2, 4, 1
Voter365, ID, 4, 3, 1, 2
Voter366, AL, 3, 4, 1, 2
Voter367, ND, 2, 3, 4, 1
Voter368, AK, 1, 2, 3, 4
Voter369, MT, 2, 4, 1, 3
Voter370, VT, 3, 1, 2, 4
Voter371, ID, 1, 3, 2, 4
Voter372, GA, 3, 4, 1, 2
Voter373, KY, 4, 1, 3, 2
Voter374, WY, 4, 2, 3, 1
Voter375, SD, 3, 4, 2, 1
Voter376, MN, 4, 3, 1, 2
Voter377, KY, 4, 1, 2, 3
Voter378, CA, 2, 4, 3, 1
Voter379, PA, 4, 1, 2, 3
Voter380, NC, 2, 4, 3, 1
Voter381, AZ, 4, 2, 3, 1
Voter382, WV, 3, 1, 4, 2
Voter383, TX, 3, 4, 2, 1
Voter384, IA, 3, 1, 4, 2
Voter385, WA, 4, 1, 3, 2
Voter386, MI, 2, 1, 4, 3
Voter387, KS, 1, 2, 4, 3
Voter388, NE, 2, 3, 1, 4
Voter389, WV, 3, 4, 1, 2
Voter390, OK, 3, 1, 2, 4
Voter391, MS, 3, 1, 4, 2
Voter392, ME, 3, 4, 1, 2
Voter393, CO, 4, 2, 3, 1
Voter394, MN, 4, 1, 2, 3
Voter395, ID, 4, 2, 1, 3
Voter396, AK, 3, 2, 1, 4
Voter397, MO, 4, 2, 1, 3
Voter398, MA, 2, 1, 3, 4
Voter399, HI, 2, 4, 3, 1
Voter400, TN, 4, 3, 1, 2
Voter401, NH, 2, 3, 4, 1
Voter402, CA, 4, 1, 3, 2
Voter403, AL, 3, 1, 2, 4
Voter404, NH, 3, 2, 1, 4
Voter405, GA, 2, 1, 3, 4
Voter406, WA, 4, 1, 3, 2
Voter407, GA, 2, 4, 3, 1
Voter408, WV, 4, 3, 1, 2
Voter409, NV, 2, 4, 1, 3
Voter410, KS, 4, 1, 3, 2
Voter411, DC, 4, 3, 2, 1
Voter412, MT, 2, 3, 1, 4
Voter413, KS, 4, 2, 1, 3
Voter414, HI, 2, 4, 1, 3
Voter415, DE, 3, 2, 4, 1
Voter416, AZ, 4, 3, 2, 1
Voter417, OK, 4, 2, 1, 3
Voter418, OH, 1, 4, 2, 3
Voter419, AK, 3, 4, 2, 1
Voter420, PA, 3, 2, 1, 4
Voter421, PA, 4, 1, 3, 2
Voter422, RI, 1, 3, 4, 2
Voter423, OH, 1, 2, 3, 4
Voter424, KY, 3, 4, 2, 1
Voter425, MI, 2, 1, 3, 4
Voter426, MI, 3, 2, 1, 4
Voter427, IN, 3, 2, 1, 4
Voter428, KS, 3, 1, 2, 4
Voter429, CT, 2, 3, 1, 4
Voter430, DC, 2, 3, 1, 4
Voter431, UT, 4, 3, 1, 2
Voter432, UT, 1, 3, 2, 4
Voter433, IL, 1, 4, 2, 3
Voter434, WV, 4, 3, 1, 2
Voter435, MT, 4, 1, 2, 3
Voter436, OH, 1, 3, 4, 2
Voter437, VA, 4, 2, 3, 1
Voter438, DC, 1, 3, 4, 2
Voter439, GA, 3, 4, 1, 2
Voter440, CA, 1, 2, 3, 4
Voter441, IN, 3, 2, 1, 4
Voter442, HI, 4, 3, 2, 1
Voter443, WI, 3, 4, 1, 2
Voter444, SD, 3, 1, 2, 4
Voter445, SD, 1, 2, 4, 3
Voter446, WV, 1, 4, 3, 2
Voter447, MS, 2, 3, 4, 1
Voter448, CA, 4, 1, 2, 3
Voter449, HI, 1, 4, 3, 2
Voter450, OH, 1, 3, 2, 4
Voter451, AZ, 1, 2, 4, 3
Voter452, VA, 2, 3, 4, 1
Voter453, KY, 2, 3, 1, 4
Voter454, DE, 1, 3, 2, 4
Voter455, ID, 1, 2, 3, 4
Voter456, AK, 1, 4, 2, 3
Voter457, CO, 4, 3, 2, 1
Voter458, NV, 1, 3, 4, 2
Voter459, OK, 1, 2, 3, 4
Voter460, MS, 1, 3, 4, 2
Voter461, KS, 4, 3, 2, 1
Voter462, TX, 3, 2, 1, 4
Voter463, MN, 3, 2, 1, 4
Voter464, PA, 4, 1, 2, 3
Voter465, WA, 3, 4, 1, 2
Voter466, ID, 3, 1, 2, 4
Voter467, VT, 3, 4, 2, 1
Voter468, LA, 4, 3, 2, 1
Voter469, AL, 3, 4, 1, 2
Voter470, MI, 4, 2, 1, 3
Voter471, WI, 1, 3, 4, 2
Voter472, MT, 4, 2, 1, 3
Voter473, IA, 1, 3, 4, 2
Voter474, CO, 1, 2, 4, 3
Voter475, MT, 3, 1, 2, 4
Voter476, MO, 1, 3, 2, 4
Voter477, WA, 4, 2, 3, 1
Voter478, NV, 2, 1, 4, 3
Voter479, MA, 3, 2, 1, 4
Voter480, TN, 3, 2, 4, 1
Voter481, DE, 3, 4, 2, 1
Voter482, UT, 4, 2, 1, 3
Voter483, OH, 3, 4, 1, 2
Voter484, WY, 1, 2, 4, 3
Voter485, KS, 4, 2, 1, 3
Voter486, IL, 4, 3, 2, 1
Voter487, LA, 1, 4, 3, 2
Voter488, MS, 2, 4, 3, 1
Voter489, ND, 1, 3, 4, 2
Voter490, AL, 4, 1, 3, 2
Voter491, UT, 4, 1, 2, 3
Voter492, OH, 3, 2, 4, 1
Voter493, AR, 4, 3, 1, 2
Voter494, RI, 4, 3, 1, 2
Voter495, IA, 1, 2, 4, 3
Voter496, IN, 1, 4, 3, 2
Voter497, LA, 2, 4, 3, 1
Voter498, PA, 4, 2, 1, 3
Voter499, SC, 3, 2, 4, 1
Voter500, WI, 1, 2, 4, 3
Voter501, CA, 3, 2, 4, 1
Voter502, OH, 4, 3, 1, 2
Voter503, SC, 4, 1, 2, 3
Voter504, DC, 2, 1, 4, 3
Voter505, AZ, 3, 4, 1, 2
Voter506, WY, 3, 2, 4, 1
Voter507, NC, 4, 3, 1, 2
Voter508, IL, 3, 4, 2, 1
Voter509, SC, 1, 4, 2, 3
Voter510, UT, 2, 1, 3, 4
Voter511, AR, 1, 2, 3, 4
Voter512, KS, 3, 2, 4, 1
Voter513, AR, 4, 3, 1, 2
Voter514, MT, 1, 4, 3, 2
Voter515, NM, 2, 3, 1, 4
Voter516, MI, 2, 3, 4, 1
Voter517, IA, 2, 3, 1, 4
Voter518, OH, 4, 1, 3, 2
Voter519, KS, 4, 1, 3, 2
Voter520, SC, 4, 3, 1, 2
Voter521, NV, 3, 4, 2, 1
Voter522, WI, 2, 1, 4, 3
Voter523, IA, 3, 2, 4, 1
Voter524, DC, 4, 1, 2, 3
Voter525, WV, 1, 4, 3, 2
Voter526, MT, 3, 2, 4, 1
Voter527, DE, 2, 4, 3, 1
Voter528, AR, 4, 1, 3, 2
Voter529, CA, 3, 2, 4, 1
Voter530, OH, 4, 3, 2, 1
Voter531, KY, 2, 4, 3, 1
Voter532, AR, 4, 1, 2, 3
Voter533, MI, 3, 4, 1, 2
Voter534, CO, 3, 1, 2, 4
Voter535, VA, 4, 1, 3, 2
Voter536, WY, 3, 2, 4, 1
Voter537, AR, 4, 1, 2, 3
Voter538, MD, 4, 2, 3, 1
Voter539, KS, 3, 4, 1, 2
Voter540, DC, 1, 2, 4, 3
Voter541, MD, 4, 2, 1, 3
Voter542, WA, 2, 1, 3, 4
Voter543, MO, 2, 3, 4, 1
Voter544, TN, 3, 2, 1, 4
Voter545, MS, 4, 2, 3, 1
Voter546, MA, 3, 1, 2, 4
Voter547, CO, 1, 2, 4, 3
Voter548, MA, 2, 3, 1, 4
Voter549, AL, 1, 3, 4, 2
Voter550, NH, 1, 3, 2, 4
Voter551, MI, 2, 3, 4, 1
Voter552, DC, 1, 2, 3, 4
Voter553, ME, 3, 4, 2, 1
Voter554, GA, 4, 3, 1, 2
Voter555, UT, 1, 2, 3, 4
Voter556, IA, 1, 4, 3, 2
Voter557, WV, 3, 4, 1, 2
Voter558, TN, 1, 4, 3, 2
Voter559, NH, 2, 1, 3, 4
Voter560, NE, 4, 1, 2, 3
Voter561, IA, 2, 4, 1, 3
Voter562, MN, 4, 1, 3, 2
Voter563, OK, 1, 4, 2, 3
Voter564, CA, 4, 2, 1, 3
Voter565, LA, 2, 1, 3, 4
Voter566, IL, 4, 2, 1, 3
Voter567, TX, 1, 2, 3, 4
Voter568, MN, 3, 1, 4, 2
Voter569, CT, 3, 1, 2, 4
Voter570, MI, 4, 3, 2, 1
Voter571, KY, 2, 4, 1, 3
Voter572, NE, 4, 3, 2, 1
Voter573, IL, 2, 1, 3, 4
Voter574, MN, 2, 4, 1, 3
Voter575, MA, 4, 1, 2, 3
Voter576, WI, 3, 4, 1, 2
Voter577, NV, 4, 2, 3, 1
Voter578, NE, 4, 3, 1, 2
Voter579, MI, 1, 3, 4, 2
Voter580, IN, 2, 1, 3, 4
Voter581, CA, 2, 3, 4, 1
Voter582, CO, 3, 1, 4, 2
Voter583, MS, 3, 4, 2, 1
Voter584, SC, 3, 2, 4, 1
Voter585, ME, 2, 3, 1, 4
Voter586, NE, 3, 1, 4, 2
Voter587, WA, 2, 4, 1, 3
Voter588, IL, 2, 4, 3, 1
Voter589, VT, 3, 1, 4, 2
Voter590, MS, 1, 4, 2, 3
Voter591, FL, 4, 3, 1, 2
Voter592, OR, 2, 1, 4, 3
Voter593, NJ, 1, 4, 2, 3
Voter594, AR, 4, 2, 1, 3
Voter595, CA, 4, 3, 2, 1
Voter596, GA, 1, 3, 2, 4
Voter597, RI, 3, 1, 2, 4
Voter598, AZ, 1, 3, 4, 2
Voter599, IN, 4, 1, 2, 3
Voter600, DE, 1, 3, 2, 4
Voter601, IA, 2, 1, 4, 3
Voter602, IL, 3, 2, 4, 1
Voter603, CT, 2, 4, 3, 1
Voter604, DE, 4, 3, 1, 2
Voter605, KY, 4, 1, 3, 2
Voter606, NC, 4, 2, 1, 3
Voter607, OK, 3, 1, 4, 2
Voter608, MT, 2, 4, 1, 3
Voter609, CA, 1, 3, 2, 4
Voter610, NY, 3, 1, 2, 4
Voter611, UT, 4, 2, 3, 1
Voter612, UT, 2, 1, 4, 3
Voter613, VA, 2, 3, 1, 4
Voter614, AL, 1, 2, 4, 3
Voter615, NC, 4, 2, 3, 1
Voter616, AR, 1, 2, 4, 3
Voter617, FL, 2, 1, 3, 4
Voter618, RI, 1, 3, 2, 4
Voter619, TX, 4, 3, 1, 2
Voter620, LA, 4, 1, 3, 2
Voter621, NC, 4, 3, 1, 2
Voter622, MT, 1, 2, 3, 4
Voter623, WY, 4, 2, 3, 1
Voter624, SC, 3, 1, 2, 4
Voter625, LA, 2, 3, 4, 1
Voter626, AR, 4, 3, 2, 1
Voter627, TN, 4, 2, 3, 1
Voter628, LA, 2, 3, 4, 1
Voter629, KY, 2, 1, 3, 4
Voter630, NY, 2, 1, 3, 4
Voter631, MA, 1, 3, 2, 4
Voter632, MA, 2, 1, 4, 3
Voter633, MN, 2, 4, 3, 1
Voter634, ND, 2, 4, 1, 3
Voter635, WY, 4, 1, 3, 2
Voter636, AZ, 4, 2, 1, 3
Voter637, NC, 4, 1, 3, 2
Voter638, UT, 3, 4, 2, 1
Voter639, CT, 1, 4, 2, 3
Voter640, HI, 3, 4, 2, 1
Voter641, CT, 3, 4, 1, 2
Voter642, CO, 1, 3, 2, 4
Voter643, NY, 3, 4, 2, 1
Voter644, AL, 1, 4, 2, 3
Voter645, DC, 1, 2, 3, 4
Voter646, ND, 2, 4, 1, 3
Voter647, DC, 1, 4, 3, 2
Voter648, MD, 4, 1, 2, 3
Voter649, ND, 3, 4, 2, 1
Voter650, KY, 1, 4, 2, 3
Voter651, SC, 4, 1, 3, 2
Voter652, OK, 4, 1, 2, 3
Voter653, NY, 2, 1, 4, 3
Voter654, GA, 1, 4, 2, 3
Voter655, CO, 2, 1, 3, 4
Voter656, DE, 1, 4, 3, 2
Voter657, ME, 1, 2, 4, 3
Voter658, NJ, 4, 2, 3, 1
Voter659, ID, 2, 3, 4, 1
Voter660, SC, 4, 2, 1, 3
Voter661, IA, 1, 3, 4, 2
Voter662, TX, 1, 3, 2, 4
Voter663, MI, 4, 3, 1, 2
Voter664, ND, 3, 2, 4, 1
Voter665, VA, 2, 1, 4, 3
Voter666, HI, 1, 2, 3, 4
Voter667, SD, 1, 2, 3, 4
Voter668, DE, 3, 4, 1, 2
Voter669, LA, 3, 2, 1, 4
Voter670, NC, 1, 3, 2, 4
Voter671, AL, 4, 3, 2, 1
Voter672, OK, 1, 3, 2, 4
Voter673, DC, 3, 1, 2, 4
Voter674, NM, 1, 4, 2, 3
Voter675, OK, 1, 2, 3, 4
Voter676, NH, 3, 2, 4, 1
Voter677, MN, 3, 4, 2, 1
Voter678, CT, 3, 4, 1, 2
Voter679, WI, 1, 2, 3, 4
Voter680, DC, 4, 2, 3, 1
Voter681, NC, 4, 2, 3, 1
Voter682, NV, 2, 3, 4, 1
Voter683, VA, 2, 1, 4, 3
Voter684, LA, 2, 4, 3, 1
Voter685, MA, 2, 3, 1, 4
Voter686, MD, 2, 1, 4, 3
Voter687, IA, 4, 2, 3, 1
Voter688, KS, 1, 2, 3, 4
Voter689, NV, 1, 3, 4, 2
Voter690, DC, 3, 4, 2, 1
Voter691, SD, 1, 2, 4, 3
Voter692, MN, 3, 4, 1, 2
Voter693, NM, 3, 2, 4, 1
Voter694, WA, 4, 3, 2, 1
Voter695, LA, 1, 4, 3, 2
Voter696, TX, 1, 3, 2, 4
